step,val_accuracy,val_f1,val_auc,val_precision,epoch,val_loss,train_auc,train_loss,train_precision,train_accuracy,train_f1
467,0.9319999814033508,0.9333333373069763,0.9853497743606567,0.9384858012199402,0,0.1545393317937851,,,,,
467,,,,,0,,0.9611576795578003,0.25592100620269775,0.891423225402832,0.8938301205635071,0.8936881422996521
935,0.9448000192642212,0.9461778402328491,0.9866049885749817,0.9461778402328491,1,0.151214137673378,,,,,
935,,,,,1,,0.9833342432975769,0.16585160791873932,0.9323762059211731,0.9318910241127014,0.9316262006759644
1403,0.9503999948501587,0.9519752264022827,0.9906549453735352,0.9453846216201782,2,0.12376416474580765,,,,,
1403,,,,,2,,0.9866469502449036,0.1487356722354889,0.9407894611358643,0.940504789352417,0.9402214288711548
1871,0.9444000124931335,0.9470879435539246,0.9904135465621948,0.9249070882797241,3,0.13601158559322357,,,,,
1871,,,,,3,,0.9912523627281189,0.11963075399398804,0.952036440372467,0.9521901607513428,0.952036440372467
2339,0.9467999935150146,0.9488658308982849,0.9910411834716797,0.9355572462081909,4,0.12627942860126495,,,,,
2339,,,,,4,,0.9919308423995972,0.11468591541051865,0.95582115650177,0.9553952813148499,0.9551798105239868
2807,0.9527999758720398,0.9530628323554993,0.993773877620697,0.9724025726318359,5,0.10682442039251328,,,,,
2807,,,,,5,,0.9929699897766113,0.10691159218549728,0.9600913524627686,0.9590678215026855,0.9588673710823059
3275,0.9495999813079834,0.9507812261581421,0.9898890256881714,0.9522691965103149,6,0.13191339373588562,,,,,
3275,,,,,6,,0.9944956302642822,0.0942179337143898,0.9634850025177002,0.9625400900840759,0.9623868465423584
3743,0.9563999772071838,0.9576040506362915,0.9916936755180359,0.9550038576126099,7,0.12272094190120697,,,,,
3743,,,,,7,,0.9950027465820312,0.08931008726358414,0.9674131870269775,0.9670138955116272,0.9668945074081421
4211,0.9571999907493591,0.9581213593482971,0.9931379556655884,0.9615082740783691,8,0.10608238726854324,,,,,
4211,,,,,8,,0.995712399482727,0.08255904912948608,0.9705249071121216,0.9688835740089417,0.9686996340751648
4679,0.9495999813079834,0.949438214302063,0.9937335252761841,0.9776859283447266,9,0.12011543661355972,,,,,
4679,,,,,9,,0.9960787296295166,0.07929639518260956,0.9701693058013916,0.9690170884132385,0.9688674211502075
5147,0.9571999907493591,0.9590195417404175,0.993431568145752,0.942061722278595,10,0.11605587601661682,,,,,
5147,,,,,10,,0.9963678121566772,0.07598672062158585,0.9704070687294006,0.9709535241127014,0.970862090587616
5615,0.9472000002861023,0.9467312097549438,0.9935899972915649,0.9807692170143127,11,0.1319398283958435,,,,,
5615,,,,,11,,0.9968693852424622,0.07033737748861313,0.9740800261497498,0.9732238054275513,0.9730998873710632
6083,0.9635999798774719,0.9648513197898865,0.9952269196510315,0.9556235671043396,12,0.08944786339998245,,,,,
6083,,,,,12,,0.9971694946289062,0.06674908846616745,0.975436270236969,0.9747596383094788,0.9746512770652771
6551,0.9556000232696533,0.9555466771125793,0.9947715997695923,0.981893002986908,13,0.12220948934555054,,,,,
6551,,,,,13,,0.9976444244384766,0.06033732369542122,0.9773700833320618,0.9778979420661926,0.9778283834457397
7019,0.9599999785423279,0.960127592086792,0.99300217628479,0.9820554852485657,14,0.12117023766040802,,,,,
7019,,,,,14,,0.9979905486106873,0.056109968572854996,0.9786863327026367,0.9788995981216431,0.9788175225257874
7487,0.9660000205039978,0.9666274189949036,0.9940159320831299,0.9731225371360779,15,0.10662832111120224,,,,,
7487,,,,,15,,0.998019814491272,0.05613328889012337,0.9781559705734253,0.9780982732772827,0.9780248999595642
7955,0.9592000246047974,0.9599999785423279,0.9934036731719971,0.965299665927887,16,0.11499349772930145,,,,,
7955,,,,,16,,0.9981176853179932,0.05302940681576729,0.9821356534957886,0.9812366366386414,0.981147289276123
8423,0.9588000178337097,0.9597813487052917,0.9932762384414673,0.960906982421875,17,0.11344516277313232,,,,,
8423,,,,,17,,0.9986417293548584,0.04613925516605377,0.9833601713180542,0.9830395579338074,0.9829644560813904
8891,0.9607999920845032,0.9621621370315552,0.9935083985328674,0.9525994062423706,18,0.1128075048327446,,,,,
8891,,,,,18,,0.9987049698829651,0.044102005660533905,0.9849482774734497,0.9837072491645813,0.9836263656616211
9359,0.9616000056266785,0.9625585079193115,0.9935462474822998,0.9625585079193115,19,0.1188800185918808,,,,,
9359,,,,,19,,0.9989255666732788,0.04063114896416664,0.9852388501167297,0.9846420884132385,0.9845782518386841
9827,0.9588000178337097,0.9594966769218445,0.9934670329093933,0.9674861431121826,20,0.119842529296875,,,,,
9827,,,,,20,,0.9990521669387817,0.037173595279455185,0.9872722625732422,0.9872462749481201,0.9872061014175415
10295,0.9603999853134155,0.9608541131019592,0.9945045709609985,0.9743384122848511,21,0.11530286073684692,,,,,
10295,,,,,21,,0.9991593956947327,0.03642613813281059,0.9859135746955872,0.9857104420661926,0.9856491684913635
10763,0.9656000137329102,0.9662744998931885,0.9951782822608948,0.9716088175773621,22,0.10609344393014908,,,,,
10763,,,,,22,,0.9992052316665649,0.03563470393419266,0.9864756464958191,0.9869791865348816,0.9869381785392761
